Constructor ,Nationality,Races Entered,Seasons Competed,No Starts,% No Start ,Engine Builders,% Engines (E per Season),Drivers,% Drivers per race,Models,% Models per season,Wins,% Wins per race,Podiums,% Podiums per race,Pole Positions,% Pole per race,1-2 Finishes,% 1-2 per race,Fastest Laps,% Fastest lap per race,Nominal Points,% nominal Points per race,Standardised Points,% Standard points per race,Km raced,Km led,% Km led,Average Start Position,Average Finishing position,Activity
Mclaren ,United Kingdom,873,55,80,0.09163803,11,0.2,65,0.074455899,63,1.145454545,182,0.208476518,488,0.558991982,155,0.177548683,47,0.053837342,157,0.179839633,5459.5,6.253722795,13449,15.40549828,442682,50387,0.113822112,8.11,5.69,Active
Ferrari,Italy,1001,71,112,0.111888112,2,0.028169014,109,0.108891109,84,1.183098592,238,0.237762238,772,0.771228771,228,0.227772228,84,0.083916084,254,0.253746254,8331.5,8.323176823,20386.6,20.36623377,581254,78487,0.135030469,6.28,4.61,Active
Williams,United Kingdom,754,45,36,0.047745358,10,0.222222222,70,0.092838196,50,1.111111111,114,0.151193634,312,0.413793103,128,0.169761273,33,0.043766578,133,0.176392573,3561,4.722811671,9247,12.26392573,370814,35241,0.095036865,8.8,7.49,Active
Mercedes,Germany,220,13,1,0.004545455,1,0.076923077,11,0.05,13,1,110,0.5,227,1.031818182,121,0.55,56,0.254545455,81,0.368181818,5478,24.9,5950.1,27.04590909,132877,33138,0.249388532,4.7,4.17,Active
Lotus ,United Kingdom,606,43,158,0.260726073,14,0.325581395,145,0.239273927,56,1.302325581,81,0.133663366,197,0.325082508,107,0.176567657,8,0.01320132,76,0.125412541,2074,3.422442244,5836.5,9.631188119,330649,26846,0.081191838,11.65,7.47,Inactive
Red Bull,Austria,296,16,15,0.050675676,5,0.3125,13,0.043918919,16,1,63,0.212837838,178,0.601351351,62,0.209459459,17,0.057432432,66,0.222972973,4916.5,16.6097973,5409,18.27364865,157970,19218,0.121656011,7.17,5.55,Active
Brabham,United Kingdom,394,30,96,0.243654822,9,0.3,85,0.215736041,39,1.3,35,0.088832487,124,0.314720812,39,0.098984772,8,0.020304569,41,0.104060914,864,2.192893401,3946,10.01522843,198655,13224,0.066567668,10.54,6.59,Inactive
Renault,France,393,24,13,0.03307888,1,0.041666667,31,0.078880407,27,1.125,35,0.089058524,100,0.254452926,51,0.129770992,2,0.005089059,32,0.081424936,1695,4.312977099,3772,9.597964377,183588,12152,0.06619169,9.24,7.7,Active
Benneton,United Kingdom,260,16,1,0.003846154,4,0.25,17,0.065384615,20,1.25,27,0.103846154,102,0.392307692,15,0.057692308,2,0.007692308,36,0.138461538,851.5,3.275,3358,12.91538462,122907,7338,0.059703678,8.66,5.92,Inactive
Tyrrell,United Kingdom,430,29,47,0.109302326,5,0.172413793,47,0.109302326,29,1,23,0.053488372,77,0.179069767,14,0.03255814,8,0.018604651,20,0.046511628,621,1.444186047,3118.5,7.252325581,182817,6737,0.036851059,14.32,7.94,Inactive
